sub_category,average_rating,discount_pct,selling_price
"Kurtas, Ethnic Sets and Bottoms",3.0,64.0,566.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,850.0
"Kurtas, Ethnic Sets and Bottoms",0.0,55.0,899.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,850.0
"Kurtas, Ethnic Sets and Bottoms",3.0,64.0,566.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,850.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,850.0
"Kurtas, Ethnic Sets and Bottoms",3.0,35.0,1035.0
"Kurtas, Ethnic Sets and Bottoms",0.0,46.0,859.0
"Kurtas, Ethnic Sets and Bottoms",0.0,33.0,1057.0
"Kurtas, Ethnic Sets and Bottoms",0.0,41.0,1179.0
"Kurtas, Ethnic Sets and Bottoms",0.0,33.0,1057.0
"Kurtas, Ethnic Sets and Bottoms",0.0,33.0,1057.0
"Kurtas, Ethnic Sets and Bottoms",0.0,33.0,1057.0
"Kurtas, Ethnic Sets and Bottoms",0.0,55.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,33.0,1057.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,850.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,850.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,850.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,850.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,850.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,850.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,850.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,850.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,850.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,850.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,850.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,850.0
"Kurtas, Ethnic Sets and Bottoms",3.7,68.0,474.0
"Kurtas, Ethnic Sets and Bottoms",3.8,68.0,474.0
"Kurtas, Ethnic Sets and Bottoms",4.3,72.0,699.0
"Kurtas, Ethnic Sets and Bottoms",4.4,55.0,575.0
"Kurtas, Ethnic Sets and Bottoms",4.4,57.0,552.0
"Kurtas, Ethnic Sets and Bottoms",4.4,57.0,552.0
"Kurtas, Ethnic Sets and Bottoms",4.4,57.0,552.0
"Kurtas, Ethnic Sets and Bottoms",4.4,57.0,552.0
"Kurtas, Ethnic Sets and Bottoms",4.4,57.0,552.0
"Kurtas, Ethnic Sets and Bottoms",4.4,57.0,552.0
"Kurtas, Ethnic Sets and Bottoms",4.4,57.0,552.0
"Kurtas, Ethnic Sets and Bottoms",4.4,55.0,575.0
"Kurtas, Ethnic Sets and Bottoms",4.4,57.0,552.0
"Kurtas, Ethnic Sets and Bottoms",4.4,57.0,552.0
"Kurtas, Ethnic Sets and Bottoms",4.4,57.0,552.0
"Kurtas, Ethnic Sets and Bottoms",4.4,57.0,552.0
"Kurtas, Ethnic Sets and Bottoms",4.4,55.0,575.0
"Kurtas, Ethnic Sets and Bottoms",4.4,55.0,575.0
"Kurtas, Ethnic Sets and Bottoms",3.9,33.0,499.0
"Kurtas, Ethnic Sets and Bottoms",3.0,21.0,549.0
"Kurtas, Ethnic Sets and Bottoms",3.0,28.0,499.0
"Kurtas, Ethnic Sets and Bottoms",3.0,28.0,499.0
"Kurtas, Ethnic Sets and Bottoms",3.0,21.0,549.0
"Kurtas, Ethnic Sets and Bottoms",3.0,23.0,534.0
"Kurtas, Ethnic Sets and Bottoms",3.0,21.0,549.0
"Kurtas, Ethnic Sets and Bottoms",3.6,66.0,399.0
"Kurtas, Ethnic Sets and Bottoms",4.6,62.0,629.0
"Kurtas, Ethnic Sets and Bottoms",3.4,59.0,809.0
"Kurtas, Ethnic Sets and Bottoms",3.9,62.0,629.0
"Kurtas, Ethnic Sets and Bottoms",4.6,62.0,629.0
"Kurtas, Ethnic Sets and Bottoms",3.9,62.0,629.0
"Kurtas, Ethnic Sets and Bottoms",4.6,62.0,629.0
"Kurtas, Ethnic Sets and Bottoms",3.9,62.0,629.0
"Kurtas, Ethnic Sets and Bottoms",3.9,62.0,629.0
"Kurtas, Ethnic Sets and Bottoms",4.6,62.0,629.0
"Kurtas, Ethnic Sets and Bottoms",3.4,59.0,809.0
"Kurtas, Ethnic Sets and Bottoms",4.6,62.0,629.0
"Kurtas, Ethnic Sets and Bottoms",3.9,62.0,629.0
"Kurtas, Ethnic Sets and Bottoms",4.6,62.0,629.0
"Kurtas, Ethnic Sets and Bottoms",3.4,59.0,809.0
"Kurtas, Ethnic Sets and Bottoms",3.4,59.0,809.0
"Kurtas, Ethnic Sets and Bottoms",3.9,62.0,629.0
"Kurtas, Ethnic Sets and Bottoms",0.0,59.0,809.0
"Kurtas, Ethnic Sets and Bottoms",3.4,59.0,809.0
"Kurtas, Ethnic Sets and Bottoms",3.3,59.0,809.0
"Kurtas, Ethnic Sets and Bottoms",3.9,62.0,629.0
"Kurtas, Ethnic Sets and Bottoms",3.9,62.0,629.0
"Kurtas, Ethnic Sets and Bottoms",3.3,59.0,809.0
"Kurtas, Ethnic Sets and Bottoms",3.3,59.0,809.0
"Kurtas, Ethnic Sets and Bottoms",3.9,62.0,629.0
"Kurtas, Ethnic Sets and Bottoms",3.9,62.0,629.0
"Kurtas, Ethnic Sets and Bottoms",0.0,50.0,799.0
"Kurtas, Ethnic Sets and Bottoms",3.8,72.0,699.0
"Kurtas, Ethnic Sets and Bottoms",4.1,35.0,449.0
"Kurtas, Ethnic Sets and Bottoms",4.0,75.0,499.0
"Kurtas, Ethnic Sets and Bottoms",4.0,70.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.6,40.0,449.0
"Kurtas, Ethnic Sets and Bottoms",4.0,62.0,749.0
"Kurtas, Ethnic Sets and Bottoms",2.2,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.5,76.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.9,73.0,699.0
"Kurtas, Ethnic Sets and Bottoms",3.7,72.0,1099.0
"Kurtas, Ethnic Sets and Bottoms",3.9,73.0,699.0
"Kurtas, Ethnic Sets and Bottoms",3.5,76.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.5,76.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.5,76.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.5,76.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.5,76.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.5,76.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.5,76.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.5,76.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.5,76.0,599.0
"Kurtas, Ethnic Sets and Bottoms",4.0,75.0,499.0
"Kurtas, Ethnic Sets and Bottoms",4.0,75.0,499.0
"Kurtas, Ethnic Sets and Bottoms",4.0,75.0,499.0
"Kurtas, Ethnic Sets and Bottoms",3.5,76.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.5,76.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.5,76.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.7,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",4.0,70.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.7,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.7,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.7,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.7,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",2.8,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",4.1,35.0,449.0
"Kurtas, Ethnic Sets and Bottoms",3.5,76.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.7,72.0,1099.0
"Kurtas, Ethnic Sets and Bottoms",3.5,76.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.7,72.0,1099.0
"Kurtas, Ethnic Sets and Bottoms",3.7,72.0,1099.0
"Kurtas, Ethnic Sets and Bottoms",3.7,76.0,599.0
"Kurtas, Ethnic Sets and Bottoms",4.0,75.0,499.0
"Kurtas, Ethnic Sets and Bottoms",3.7,76.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.7,76.0,599.0
"Kurtas, Ethnic Sets and Bottoms",4.0,75.0,499.0
